id,bkk_datetime,type,message,link,likes,comments,shares,reactions,love,care,haha,wow,sad,angry,promotion_status
352750091735719_1094929504184437,Fri Jan 17 18:11:45 2020,video,"���� เตรียมตัวให้พร้อม รุ่น 2 กำลังมา!
.
กับ ""Digital Leadership Bootcamp"" 
.
หลักสูตรที่จะทำให้คุณเป็นผู้นำในธุรกิจยุคดิจิทัลภายใน 10 สัปดาห์
.
อัดแน่นด้วยเนื้อหาสุดเข้มข้ม เก็บเกี่ยวประสบการณ์จากผู้เชี่ยวชาญตัวจริง และได้ลงมือทำในแบบที่คุณไม่เคยได้ทำที่ไหนมาก่อน
.
อยากเป็นผู้นำในโลกธุรกิจยุคดิจิทัล เข้าไปลงชื่อไว้เลย ที่ https://digital-leadership.skooldio.com/

#DLBbySkooldio #DLB2 #Skooldio",https://www.facebook.com/skooldio/videos/436199160425203/,33,1,13,39,3,,0,3,0,0,ineligible
352750091735719_1096270154050372,Sun Jan 19 10:32:20 2020,album,ใครที่ไปร่วมงาน Creative Talk วันนี้ มาแวะฟัง อ. พี่ต้า จาก Skooldio อัพเดทความเคลื่อนไหวที่น่าสนใจในแวดวงเทคโนโลยีและทักษะที่กำลังเป็นที่ต้องการสูงสุดในทศวรรษนี้กัน!,https://www.facebook.com/352750091735719/posts/1096270154050372/,46,0,3,48,2,,0,0,0,0,inactive
352750091735719_1100205303656857,Sat Jan 25 08:00:58 2020,photo,"�� คอร์ส Python มาแล้ว! ตามคำเรียกร้อง!!

�� เวิร์คชอปเขียนโปรแกรมด้วยภาษา Python ปูพื้นฐานอย่างเข้มข้น ผ่านการทำโปรเจคจริง ลงมือทำจริง การเขียนโปรแกรมจะสนุกและไม่น่าเบื่ออีกต่อไป!

⭐️ ครบถ้วนทุกหัวข้อที่จำเป็นสำหรับการเขียนโปรแกรม และเวิร์คชอปนี้ออกแบบมาสำหรับผู้เริ่มต้นโดยเฉพาะ เรียนได้โดยไม่ต้องมีพื้นฐาน เรียนได้ทั้งวัยทำงาน และนักเรียนนักศึกษา

����ราคาพิเศษ!! ถูกใจแน่นอน สำหรับรอบนี้เท่านั้น ลงชื่อไว้ก่อนได้เลย!
https://forms.gle/XgcY4gNNYGXvJqHb9

��สอบถามข้อมูลเพิ่มเติม
ติดต่อคุณนิติพัฒน์(บอล) 065-651-7974 หรือ nitipat@skooldio.com

#python",https://www.facebook.com/skooldio/photos/a.457984764545584/1100424166968304/?type=3,42,1,16,42,0,,0,0,0,0,inactive
352750091735719_1103002970043757,Mon Jan 27 22:04:47 2020,photo,"ห้ามพลาด! กิจกรรมดีๆ ร่วมกับ TARAD.com ชวนคุณมาเล่นกับข้อมูลผ่าน Google Data Studio ��

รายได้หลังหักค่าใช้จ่ายนำไปบริจาคโครงการเพื่อสังคมด้วย! อิ่มความรู้ อิ่มเบียร์ อิ่มบุญในงานเดียว ��",https://www.facebook.com/411551672983876/photos/a.413147279490982/638101556995552/?type=3,33,1,8,35,1,,0,1,0,0,ineligible
352750091735719_1103591559984898,Tue Jan 28 17:17:12 2020,album,"�� กลับมาอีกครั้งกับเวิร์คชอป Microservices
หลักสูตรที่กว่า 50 องค์กรชั้นนำเลือกเรียน

�� สมัครวันนี้รับส่วนลด 4,000 บาท!

�� สอนทุกเรื่องสำคัญของการทำ Microservices พร้อมลงมือทำจริง
กับคุณปุ๋ย สมเกียรติ ผู้เชี่ยวชาญตัวจริง เจ้าของบล็อก Somkiat.cc

- Microservices จำเป็นจริงๆ ไหม?
- มันมีข้อดี และข้อเสียยังไงบ้าง?
- ถ้าอยากจะทำแล้ว ควรเริ่มต้นยังไง?

ทุกคำถามหาคำตอบได้ในเวิร์คชอปนี้!

สนใจรายละเอียดเพิ่มเติม
�� https://www.skooldio.com/workshops/microservices
�� ติดต่อคุณนิติพัฒน์ (บอล) 065-651-7974 หรือ nitipat@skooldio.com",https://www.facebook.com/352750091735719/posts/1103591559984898/,91,0,30,91,0,,0,0,0,0,inactive
352750091735719_1104525606558160,Thu Jan 30 07:00:36 2020,photo,"�� เขียนเรื่องยาวๆ อย่างไรให้น่าอ่าน ���� 
.
หลายคนชอบพูดว่าคนไทยอ่านหนังสือไม่เกินวันละ 8 บรรทัด ยิ่งในโลกโซเชียล โพสต์ที่ข้อความยาวๆ ก็มักจะถูกหมางเมิน ปล่อยให้ซ่อนไว้อยู่ใต้ ""See more"" ��
.
ในยุคที่ Content is king ทักษะการเขียนกลายเป็นทักษะสำคัญที่กำลังเป็นที่ต้องการอย่างสูง ทั้ง Content marketer ในฝั่งการตลาดหรือ UX Writer ในฝั่งพัฒนาผลิตภัณฑ์  
.
เทคนิคง่ายๆ อันนึงที่จะช่วยให้ย่อหน้ายาวๆ ของเราน่าอ่านมากขึ้น คือการปรับความยาวประโยคให้มีประโยคที่สั้นและยาวสลับกันไปมาในย่อหน้า เพื่อให้อ่านแล้ว มีจังหวะ ไม่ Monotone ไม่น่าเบื่อ ถ้าใครยังไม่เห็นภาพว่าความยาวประโยคมีผลต่อความไหลลื่นในการอ่านอย่างไร วันนี้เรามีตัวอย่างจากหนังสือ 100 Ways to Improve Your Writing ของ Gary Provost มาให้ดูกัน 
.
#Skooldio #UX

ติดตามเวิร์คชอปและคอร์สออนไลน์ที่จะช่วยคุณอัพสกิลใหม่ๆ ได้ที่ https://www.skooldio.com/browse",https://www.facebook.com/skooldio/photos/a.457984764545584/1104512826559438/?type=3,80,0,42,86,4,,0,2,0,0,inactive
352750091735719_1105869483090439,Fri Jan 31 16:10:05 2020,album,"Shopee จับมือ Skooldio ชวนนักเรียน นิสิต นักศึกษา และบุคคลทั่วไป ร่วมสมัครเข้าแข่งขันในรายการ Thailand Data Challenge 2020 การแข่งขันวิเคราะห์ข้อมูลเชิงธุรกิจที่ใหญ่ที่สุดในประเทศไทย!
.
��✈️���� ชิงเงินรางวัล และ Shopee Coins รวมมูลค่ากว่า 100,000 บาท พร้อมทริปเยี่ยมชมสำนักงานใหญ่ Shopee ณ ประเทศสิงคโปร์ สุด Exclusive
.
�� พิเศษ!! ผู้สมัครแข่งขันยังมีสิทธิ์ลงทะเบียนเข้าอบรมและทำ workshop ด้าน coding และ data analytics กับ startups และองค์กรชั้นนำของประเทศไทย 
.
�� โดยในส่วนของ Skooldio จะจัด workshop 1 วันเต็ม ให้ผู้เข้าร่วมแข่งขัน ในวันที่ 14 มี.ค. สอนตั้งแต่การ จัดการ วิเคราะห์ นำเสนอข้อมูล รวมไปจนถึง machine learning เบื้องต้น ด้วยเทคโนโลยีของ Google (Cloud DataPrep, BigQuery, Data Studio)
.
3 ขั้นตอนง่ายๆ เพื่อร่วมแข่งขัน
(1) ฟอร์มทีม 2-4 คน และลงทะเบียนทีมที่ > https://careers.shopee.co.th/datachallenge/ 
(2) เลือกประเภทการแข่งขันให้ถูกต้อง และเลือกหลักสูตร หรือ workshops ที่สนใจ
(3) เตรียมตัวให้พร้อมในการแข่งขันในวันเสาร์ที่ 28 มีนาคม 2563 ที่ ยูเนี่ยน ฮอลล์ ศูนย์การค้ายูเนี่ยน มอลล์
.
อย่าช้า!! ลงทะเบียนภายในวันที่ 8 มีนาคม 2563 เท่านั้น!!
>> คลิกลงทะเบียน https://careers.shopee.co.th/datachallenge/ <<
สอบถามรายละเอียดเพิ่มเติมได้ทาง:  datachallengeth@shopee.com

#THDataChallenge #ShopeeTH #Shopee #Skooldio #ShopeexSkooldio",https://www.facebook.com/352750091735719/posts/1105869483090439/,50,6,26,56,4,,0,2,0,0,inactive
352750091735719_1104387859905268,Fri Jan 31 19:00:12 2020,album,"�� เปิดรับสมัครแล้ว!
�� DLB #2: Digital Leadership Bootcamp รุ่นที่ 2
�� !! หลักสูตรที่รวมทุกทักษะแห่งอนาคตที่ผู้นำยุคใหม่ทุกคนต้องมี !!
.
�� เข้มข้นด้วยเนื้อหาที่คัดสรรมาเพื่อผู้นำแห่งยุคดิจิทัลโดยเฉพาะอย่าง Digital Leadership, Data Science, UX/UI, Design Thinking และ Agile Organization!
.
�� เต็มอิ่มด้วย 3 รูปแบบการเรียนรู้ ทั้ง Fireside Chat, Workshop และ Dinner Talk ที่คุณจะได้รู้ลึก รู้จริง ลงมือทำจริง และเก่งขึ้นจริง!
.
�� Exclusive กับกิจกรรม Design Sprint นำโดย ดร.วิโรจน์ จิรพัฒนกุล Google Certified Sprint Master เพื่อออกแบบ Digital Products สำหรับแก้ปัญหาจริงขององค์กร!
.
�� เริ่มเรียน 20 มีนาคม – 29 พฤษภาคม 2563 (10 ครั้ง)
เรียนทุกวันศุกร์ เวลา 13:00 - 20.00 น.
.
�� สมัครออนไลน์ได้แล้ววันนี้ พร้อมรับโปรโมชั่นราคา Early Bird เมื่อสมัครภายในวันที่ 28 กุมภาพันธ์ 2563!
.
�� ดูข้อมูลเกี่ยวกับโครงการและสมัครออนไลน์ได้ที่ https://digital-leadership.skooldio.com/
.
และสอบถามเพิ่มเติมได้ที่ hello@skooldio.com หรือโทร. 085-808-1000 พร้อมติดตามอัพเดทได้ที่ Facebook ของ Skooldio
.
#DigitalLeadershipBootcamp #DLB #DLB2 #skooldio",https://www.facebook.com/352750091735719/posts/1104387859905268/,25,2,16,30,2,,0,3,0,0,inactive
352750091735719_1106874472989940,Sun Feb  2 08:00:28 2020,photo,"Skooldio x  สมาคมการตลาดแห่งประเทศไทย MAT Society
.
เปิดรับสมัครแล้วกับ The CMO Academy #6 หลักสูตรการตลาดระดับสูงสำหรับผู้บริหารรุ่นใหม่ที่ต้องการ Upskill & Reskill เพื่อเข้าถึงยุทธศาสตร์การตลาดแห่งทศวรรษหน้าที่กำลังจะมาถึง ไขทุกเคล็ดลับความสำเร็จที่ผู้บริหารด้านการตลาดต้องรู้!
.
ดูรายละเอียดเพิ่มเติมได้ที่: https://www.marketingthai.or.th/event/the-cmo-academy6

#skooldio #data #digitalmarketing",https://www.facebook.com/skooldio/photos/a.530633103947416/1107638362913551/?type=3,18,0,6,20,1,,0,1,0,0,inactive
352750091735719_1108634249480629,Tue Feb  4 07:23:52 2020,photo,"�� วันพฤหัส 6 ที่กุมภานี้ Skooldio บุกเชียงใหม่เจ้าาา 
.
ใครอยู่เชียงใหม่มาเจอกันได้ รับฟัง Talk ฟรี!! ในหัวข้อ Making Impact with Data เปลี่ยนข้อมูลให้เกิดมูลค่า ที่มหาวิทยาลัยเชียงใหม่ ภาควิชาวิทยาการคอมพิวเตอร์ ห้อง CSB100 เวลา 09.00 - 11.00 น
.
ดูรายละเอียดเพิ่มเติม หรือลงทะเบียนคลิกเลย �� https://www.cs.science.cmu.ac.th/2020/01/31/รับสมัครเข้าร่วมการอบร-2/",https://www.facebook.com/skooldio/photos/a.530633103947416/1114061612271226/?type=3,41,0,18,49,5,,0,3,0,0,inactive
352750091735719_1108900936120627,Tue Feb  4 17:07:19 2020,album,"��Skooldio Labs✨ “ลอง” เรียนก่อนใคร ในราคา 50%!

⭐️ Skooldio Labs คืออะไร?
⭐️ ทำไมเราถึงอยาก “ลอง” และอยาก “ฟัง”?
⭐️ คอร์สอะไรเป็นเวิร์คชอปแรกใน Skooldio Labs?

มาหาคำตอบกันได้ ในโพสนี้เลย!

อ่านข้อมูลเกี่ยวกับ Skooldio Labs แบบเต็มๆได้ที่ -> https://medium.com/p/6f6d0b46213d",https://www.facebook.com/352750091735719/posts/1108900936120627/,24,1,11,30,3,,0,3,0,0,inactive
352750091735719_1109482852729102,Wed Feb  5 12:00:15 2020,link,"�� เพราะบางครั้งสิ่งที่คนอื่นพูด อาจไม่ใช่สิ่งที่เขาต้องการเสมอไป ��
.
มารู้จักกับเทคนิค '5 Whys' หลักการของ Design Thinking ที่จะช่วยให้เราวิเคราะห์หาสาเหตุ เจาะลึกถึงรากที่แท้จริงของปัญหาได้ตรงจุดมากขึ้น ผ่านการถาม 5 คำถามที่เจาะลงไปเรื่อยๆ ��
.
#MadebySkooldio #ยิ่งถามทำไม #ยิ่งเข้าใจคนอื่นมากขึ้น",https://dribbble.com/shots/9890514-Design-Thinking-The-5-Whys,60,0,48,63,2,,0,1,0,0,inactive
352750091735719_1109659496044771,Wed Feb  5 17:57:03 2020,link,"6 เทคนิค...ออกแบบ UX ให้ผู้ใช้ เข้าใจเพียงเสี้ยววินาที ��

.

มาดูเทคนิคการออกแบบให้ผู้ใช้คิดน้อยที่สุด ตามหลักการ Recognition Rather than Recall (หนึ่งในหลักการออกแบบ Usability Heuristics)

อ่านเพิ่ม https://blog.skooldio.com/6-technic-ux-design

.
.
เปิดแล้ว UX Foundations รุ่น 5
https://www.skooldio.com/workshops/ux-foundations?skuCode=W31021-05",https://blog.skooldio.com/6-technic-ux-design/,117,0,329,124,5,,0,2,0,0,inactive
352750091735719_1110354279308626,Thu Feb  6 17:58:08 2020,album,"�� ขนมาเพียบบบ!! เวิร์คชอป เดือนกุมภา - มีนา ��
อัพสกิลตั้งแต่ต้นปี พร้อมรับมือปี 2020

.
�� พิเศษ❗️ ส่วนลด Early Bird สำหรับสมัครในนามบุคคล ��
สมัครก่อน..ได้ส่วนลดก่อน  หมดแล้วหมดเลยนะจ๊ะ
(สำหรับองค์กรก็มีส่วนลด Pack 2 นะ)
.

ติดต่อสอบถามรายละเอียดเพิ่มเติม
hello@skooldio.com",https://www.facebook.com/352750091735719/posts/1110354279308626/,11,0,7,11,0,,0,0,0,0,inactive
352750091735719_1111177955892925,Fri Feb  7 18:10:45 2020,album,"�� ทำไมถึงต้องเรียน Python กับ Skooldio ???

✨ เรียนผ่านโปรเจคจริง เข้าใจง่าย
�� ออกแบบสำหรับผู้เริ่มต้นโดยเฉพาะ
�� Skooldio Labs ลด 50% สำหรับรอบนี้เท่านั้น! 

สนใจสมัคร หรืออ่านข้อมูลเพิ่มเติมที่นี่!
https://www.skooldio.com/workshops/intro-python

#SkooldioLABS #Python",https://www.facebook.com/352750091735719/posts/1111177955892925/,16,1,8,19,2,,0,1,0,0,inactive
352750091735719_1111262069217847,Sat Feb  8 10:00:36 2020,photo,"�� มีข้อมูลเยอะมาก แต่ไม่รู้เลยว่าจะเอามาใช้ยังไง
�� ลงทุนระบบไป แต่ Data ที่เก็บไว้ก็ไม่ได้สร้างมูลค่าตามที่หวัง
����‍�� จ้าง Data Scientist มา แต่อุปสรรคในการทำงานก็เยอะเหลือเกิน
.
หลายองค์กรหวังจะขับเคลื่อนด้วยข้อมูล กลับต้องเจอปัญหาเหล่านี้ เพราะไม่ได้ให้ความสำคัญกับวัฒนธรรมองค์กรที่ส่งเสริมให้คนในองค์กรเอาข้อมูลไปขับเคลื่อนการทำงาน
.
นี่คือ 10 เทคนิคจาก Harvard Business Review ที่จะมีส่วนช่วยสร้างวัฒนธรรมให้องค์กรของคุณเป็น Data-driven Organization มีอะไรบ้าง ไปดูกัน https://hbr.org/2020/02/10-steps-to-creating-a-data-driven-culture
.
.
หรืออยากให้เราช่วยคุณเปลี่ยนแปลงองค์กร ติดต่อเรามาได้ที่ 
�� https://www.skooldio.com/business#contactUs
#Skooldio #DataScience",https://www.facebook.com/skooldio/photos/a.457984764545584/1111244959219558/?type=3,120,0,103,124,3,,0,1,0,0,inactive
352750091735719_1111925662484821,Sat Feb  8 17:58:05 2020,album,"มี UX Designer ในทีมแล้ว...ต้องเข้าใจ UX อีกหรอ❓

.
ในปัจจุบันมี Digital product จำนวนมาก ที่ออกแบบสวยงาม แต่ผู้ใช้งานน้อย หรือแทบไม่ใช้เลย ��
.
❗️ปัญหาส่วนใหญ่เกิดจากผู้ใช้ไม่ได้รับ Experience ที่ดี ทำให้รู้สึกใช้งานยาก และไม่ตอบโจทย์ผู้ใช้มากพอ❗️
.
ซึ่งการออกแบบ Digital Product เพื่อให้ผู้ใช้งานได้รับ  Experience ที่ดี มักถูกออกแบบโดย UX Designer ในทีม

แต่จะดีกว่ามั้ยถ้าทุกคนในทีมเข้าใจ User Experience และสามารถช่วยกันพัฒนา Digital Product ให้ตอบโจทย์ผู้ใช้งานของเราได้มากที่สุด 

.
มาดูกันเถอะว่า ""ทำไม? แต่ละอาชีพควรเข้าใจ UX""

.
.
อยากเข้าใจต้องไปเรียน 
�� คอร์ส UX Foundations เปิดแล้ววว ��
�� วันอาทิตย์ที่ 16 กุมภาพันธ์ (09.30 - 17.00)
�� LearnHub+ , BTS สยาม

 เนื้อหา + Workshop ที่ได้ลงมือทำจริง 1 วันเต็ม
���� สมัครเลย www.skooldio.com/workshops/ux-foundations",https://www.facebook.com/352750091735719/posts/1111925662484821/,138,1,96,146,4,,1,3,0,0,inactive
352750091735719_1113081612369226,Mon Feb 10 08:00:54 2020,album,"�� ""ความสัมพันธ์"" ที่มีความหมาย กับ ""งาน​"" ที่มีคุณค่า เป็นสิ่งที่เกื้อหนุนกัน โดยเฉพาะอย่างยิ่งในสภาพแวดล้อมที่ทุกคน ""จริงใจ"" และ ""เปิดเผย"" กันมากๆ -- Principles: Life and Work (Ray Dalio)
.
แล้ววัฒนธรรมองค์กรคุณล่ะเป็นอย่างไร? 

#skooldio #wayofworking #transformation",https://www.facebook.com/352750091735719/posts/1113081612369226/,32,0,9,37,4,,0,1,0,0,inactive
352750091735719_1113389182338469,Mon Feb 10 14:46:41 2020,event,"Skooldio x Facebook Developer Circle: Bangkok เปิดบ้านจัดงาน Meetup สุดพิเศษ ในหัวข้อการบริหารจัดการทีม Tech ให้แข็งแกร่ง โดย Software Engineer มากประสบการณ์จาก Facebook และ Amazon
.
ไม่ว่าคุณจะเป็น CTO, CIO, Tech Lead หรือจะเป็น Software Engineer ที่อยากจะประสบความสำเร็จมากขึ้นไปอีกขั้น พลาดไม่ได้!",https://www.facebook.com/events/224320768591468/,45,1,0,45,0,,0,0,0,0,ineligible
352750091735719_1114201022257285,Tue Feb 11 17:15:15 2020,link,"��⚙️ Design System หรือระบบการออกแบบ ที่ไม่ว่าจะสตาร์ทอัพหรือองค์กรใหญ่ก็ควรมี เพื่อความคล่องตัวในการสร้าง Digital Products
.
Design System ช่วยให้
✅ การทำงานร่วมกันระหว่าง Designer กับ Developer มีประสิทธิภาพยิ่งขึ้น
✅ Digital Product บนทุกๆ Interface มีความสอดคล้องกัน (Consistent)
✅ ทีมสามารถปรับเปลี่ยนผลิตภัณฑ์ หรือพัฒนาผลิตภัณฑ์ใหม่ได้รวดเร็วยิ่งขึ้น
.
“A design system isn’t a project, it’s a product serving other products” — Nathan Curtis
.
ลองมาทำความรู้จักกับ Design System กันในบทความนี้!
https://blog.skooldio.com/design-system-scale-up/
.
#Skooldio #DesignSystem #UI

---------------

สำหรับใครที่ต้องการอัพสกิลด้านการออกแบบ Digital Product, UX, UI สามารดูรายละเอียดเพิ่มเติมได้ที่ www.skooldio.com/category/design",https://blog.skooldio.com/design-system-scale-up/,63,0,57,67,2,,0,2,0,0,inactive
352750091735719_179497863314276,Tue Feb 11 17:31:23 2020,event,,https://www.facebook.com/events/179497863314276/,22,0,0,25,1,,0,2,0,0,ineligible
352750091735719_485381335681894,Tue Feb 11 17:36:44 2020,event,,https://www.facebook.com/events/485381335681894/,14,0,0,16,0,,0,2,0,0,ineligible
352750091735719_1114895645521156,Wed Feb 12 17:30:53 2020,photo,"�� 10 เหตุผลสำคัญ ที่คุณควรศึกษา ""Microservices""

��‍����‍�� ทำไมมีแต่คนหันมาใช้? มันดียังไง? มาดูกัน!

�� อ่านเพิ่มเติม https://www.edureka.co/blog/top-10-reasons-to-learn-microservices/

--------------------------------

สนใจเรียน Microservices กับผู้เชี่ยวชาญตัวจริง 3 วันเต็ม (26-28 กุมภาพันธ์ 2563)

ดูรายละเอียดที่นี่เลย!
https://www.skooldio.com/workshops/microservices",https://www.facebook.com/skooldio/photos/a.457984764545584/1115532262124161/?type=3,38,1,37,40,1,,0,1,0,0,inactive
352750091735719_1115697478774306,Thu Feb 13 17:13:51 2020,album,"สนใจอัพสกิล Design กันหน่อยมั้ย❓

.
คอร์สไหนที่ใช่ คอร์สไหนที่เหมาะกับคุณ ลองดูได้เลย
.

Skooldio ขนเวิร์คช็อปด้าน Design มาเพียบบบบบ
มีให้เลือกตลอดทั้งปี
#เรื่องรักเราไม่ค่อยพริ้วเรื่องอัพสกิลเราไม่เคยพลาด
#ท่องจำแล้วหัวโตเรียนกับSkooldioแล้วหัวไว",https://www.facebook.com/352750091735719/posts/1115697478774306/,91,6,108,95,2,,1,1,0,0,inactive
